Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
B7GxUIF3hlw,Napoleonic Cavalry : The Last Knights of Europe 💂⚔️🐎,"Aug 25, 2025",992,98,28.69,,86,5,80,78,2,0,0,1,0,6,0,100,1,0,5.394,0,0,16,0,0,0,,0,0,,0,0,,,0,9,18,1.2939,98,7.7483,1,0.524,0:04:44,1282,5.3
_fKglD4X5zw,The BLACK Brunswickers ☠️ Prussia's LEGION of DEATH 🇩🇪,"Dec 13, 2025",146,226,50.99,,206,65,143,135,8,0,0,2,0,17,0,100,4,5,2.281,0,0,0,,0,0,,0,0,,0,0,,,0,3,22,0.4355,226,4.6733,2,0.511,0:01:14,2091,5.83
C2rV3wvydDI,Why You Couldn't Join Napoleon's Guard 🇫🇷,"Feb 9, 2026",88,2100,54.2,74.74,1986,887,1097,1044,53,0,0,9,0,167,1,99.4,10,5,0.234,0,0,0,,0,0,,0,0,,0,0,,,0,,324,2.7269,3283,28.1161,9,0.492,0:00:47,9331,7.95
opormdCjYzM,BRUTAL Requirements of the Old Guard ⚔️,"Feb 10, 2026",147,1838,60.24,71.83,1771,778,990,910,80,0,0,8,0,170,3,98.27,2,3,0.252,0,0,0,,0,0,,0,0,,0,0,,,0,,265,3.2547,3096,45.5224,8,0.462,0:01:28,6583,7.35
ZgJ9XMBF7ow,Napoleon’s Cavalry 💂⚔️🐎 The Last Knights of Europe,"Aug 30, 2025",1806,127,14.43,,105,14,91,88,3,0,0,1,0,6,0,100,0,0,3.718,0,0,8,0,0,0,,0,0,,0,0,,,0,11,14,1.1874,127,9.192,1,0.462,0:04:20,1039,3.56
zdH53yHr2dI,The Supper at Beaucaire 🇫🇷 NAPOLEON Bonaparte [1793] - in ENGLISH,"Dec 20, 2025",1616,78,8.52,,69,18,51,47,4,0,0,2,0,3,1,75,0,2,5.628,0,0,0,,0,0,,0,0,,0,0,,,0,7,15,1.3489,78,2.9823,2,0.439,0:02:17,1200,4.58
0Njma8udlmE,Pink & Orange : 4K Gradient VISUALS,"Oct 19, 2024",3704,31,14.56,,27,22,5,5,0,0,0,0,0,0,0,,1,0,13.452,0,0,4,0,0,0,,0,7,0,0,0,,,0,1,5,1.1895,31,4.6426,0,0.417,0:08:59,89,8.99
DPJlBY_IU14,Napoleon’s SWAGGIEST 🎺🐎 Cavalry Trumpeters,"Jan 15, 2026",60,2079,74.63,78.6,1898,324,1574,1542,32,0,0,2,0,258,5,98.1,16,8,0.177,0,0,0,,0,0,,0,0,,0,0,,,0,,418,3.1085,3318,26.0772,2,0.368,0:00:44,13289,10.17
yUTdUCZJ2Q4,Napoleon's EPIC Speech at the PYRAMIDS 🐫 🇫🇷,"Mar 8, 2026",142,319,43.35,,254,143,114,90,24,0,0,1,0,12,1,92.31,0,3,1.07,0,4,197,2.03,0,0,,0,0,,0,0,,,0,1,25,0.5985,319,5.4552,1,0.358,0:01:01,6363,3.85
eUNOuGsCG3c,The Emperor's Men 🇫🇷 The Old GUARD,"Mar 3, 2026",147,1174,55.27,77.61,1116,487,626,545,81,0,0,2,0,108,0,100,6,3,0.278,0,0,0,,0,0,,0,0,,0,0,,,0,,201,4.2003,1793,26.6385,2,0.326,0:01:21,6429,7.03
v3sy18T2MbA,Inside the SADDLE of a French Hussar ⚔️,"Mar 14, 2026",164,1487,51.05,81.9,1388,286,1085,939,146,0,0,3,0,149,3,98.03,6,6,0.215,0,0,0,,0,0,,0,0,,0,0,,,0,,206,3.3471,2089,34.7425,3,0.317,0:01:23,11274,7.15
PC_dEhbnex4,🍀 LAWLESS 🇫🇷 🇮🇪 Napoleon’s IRISH,"Feb 14, 2026",104,1424,77.76,80.48,1353,400,954,891,63,0,0,10,0,164,0,100,15,3,0.221,0,0,0,,0,0,,0,0,,0,0,,,0,,215,5.012,2134,32.1446,10,0.315,0:01:20,7134,8.58
2rdWYIxyfGc,Battle of AUSTERLITZ 💂‍♂️ EYE WITNESS ⚔️ Austrian Officer who FOUGHT NAPOLEON tells his STORY!,"May 13, 2025",3618,60,18.77,,47,21,26,25,1,0,0,0,0,1,0,100,0,0,5.237,0,0,16,0,0,0,,0,35,0,0,0,,,0,1,14,3.0047,60,11.3164,0,0.311,0:11:18,830,4.94
LfvbYfWQ-aI,Napoleon’s DESERT Slaughter: Pyramids 1798 ⚔️,"Feb 16, 2026",151,1214,65.95,76.49,1145,322,824,766,58,0,0,3,0,101,2,98.06,5,6,0.249,0,0,0,,0,0,,0,0,,0,0,,,0,,203,4.1426,1968,33.7345,3,0.302,0:01:39,9398,6.75
9S0uSUydu_s,Battle of WATERLOO 💂‍♂️ EYE WITNESS ⚔️ British Officer who FOUGHT NAPOLEON tells his STORY!,"Jun 24, 2025",1441,65,18.52,,51,15,37,30,7,0,0,0,0,1,0,100,0,0,4.154,0,0,8,0,0,1,0,0,50,0,0,0,,,0,7,6,0.6312,65,4.8188,0,0.27,0:04:26,791,3.92
locBzr8P9tk,Napoleonic Cavalry ⚔️🐎 Culture & Lifestyle,"Aug 29, 2025",458,84,43.81,,67,24,43,39,4,0,0,0,0,2,0,100,0,0,3.447,0,0,69,0,0,0,,0,88,0,0,0,,,0,1,10,0.5364,84,4.6814,0,0.266,0:03:20,1162,5.08
SnagG7toVn0,Marshal NEY  ⚔️  Bravest of the Brave,"Jan 26, 2026",179,935,49.92,47.99,908,592,315,305,10,0,0,0,0,91,1,98.91,3,7,0.279,0,0,0,,0,0,,0,0,,0,0,,,0,,201,2.4048,2017,23.5893,0,0.26,0:01:29,1431,5.45
BkwbmVWnaNQ,RANKING Napoleonic HATS | The BICORN 💂🇫🇷🎩,"Feb 12, 2026",84,1206,61.77,67.9,1095,176,920,851,69,0,0,5,0,111,3,97.37,1,3,0.202,0,0,0,,0,0,,0,0,,0,0,,,0,1,207,1.7682,1886,17.5512,5,0.244,0:00:51,8991,7.93
SkQ4H5b5TPQ,The Uniform Napoleon Wore at MARENGO 🩸🇫🇷,"Jan 27, 2026",130,990,49.42,73.37,938,683,257,251,6,0,0,11,0,82,0,100,4,0,0.234,0,0,0,,0,0,,0,0,,0,0,,,0,,167,2.4539,1415,17.8278,11,0.236,0:01:04,5665,6.48
omcLj50cj4M,Inside the SADDLE of a French Hussar ⚔️ PT 2,"Mar 14, 2026",145,1177,53.11,76.59,1104,373,723,589,134,0,0,2,0,122,0,100,0,4,0.2,0,0,0,,0,0,,0,0,,0,0,,,0,,179,2.3556,1638,25.346,2,0.231,0:01:17,7301,6.6
ncttD1jFcDo,Napoleon’s GENIUS Trap at Austerlitz 🇫🇷,"Jan 26, 2026",127,790,63.46,62.23,769,572,197,189,8,0,0,2,0,39,3,92.86,0,1,0.29,0,0,0,,0,0,,0,0,,0,0,,,0,,206,2.0658,1474,17.9149,2,0.23,0:01:20,3098,1.78
xsRftEUpO74,🐎 Napoleon’s Cavalry ⚔️ Weapons & Equipment,"Aug 25, 2025",301,72,37.87,,58,18,39,36,3,0,0,0,0,4,0,100,0,0,3.203,0,3,77,3.9,0,0,,0,61,0,0,0,,,0,1,4,0.0592,72,2.2797,0,0.229,0:01:53,345,6.38
DJyM4EpPwcc,The Guard Dies; not Surrenders💂🏼🇫🇷,"Feb 9, 2026",43,849,73.63,55.11,797,291,506,450,56,0,0,1,0,78,1,98.73,3,1,0.256,0,0,0,,0,0,,0,0,,0,0,,,0,,204,0.8721,1792,7.7086,1,0.217,0:00:31,4964,7.09
5086ApoZsoU,TOOLS of WAR 🇫🇷 Napoleonic Cavalry (2/2),"Feb 6, 2026",145,1005,46.73,70.9,950,293,657,577,80,0,0,4,0,128,1,99.22,9,4,0.221,0,0,0,,0,0,,0,0,,0,0,,,0,,194,3.0094,1490,19.0896,4,0.213,0:01:07,6574,6.97
rcSTVTWEMgQ,⚔️ Antoine Lasalle 💂 Napoleon's Legendary General  🐎,"Sep 20, 2025",271,141,36.74,,119,34,85,68,17,0,0,0,0,7,0,100,0,0,1.525,0,0,48,0,0,0,,0,116,0,0,0,,,0,4,13,0.2403,141,3.8992,0,0.212,0:01:39,1713,5.14
Xp3aO_mRDB4,⚔️ Types of Napoleon’s Cavalry,"Aug 30, 2025",157,1302,48.84,72.14,1125,641,469,456,13,0,0,9,1,88,0,100,3,1,0.163,0,0,0,,0,0,,0,0,,0,0,,,0,,143,2.5005,1875,27.9284,8,0.207,0:01:16,15379,5.73
D35DBwMR2zw,How Napoleon CRUSHED Egypt 💀🏜️,"Feb 25, 2026",153,739,66.36,64.45,712,295,418,368,50,0,0,5,0,94,0,100,2,3,0.277,0,0,0,,0,0,,0,0,,0,0,,,0,,136,1.9171,1355,20.9919,5,0.205,0:01:41,5247,4.52
Q9COBYAFpaA,Charlie BUTTHEAD Kirk 🤣,"Aug 9, 2025",11,734,249.05,75.43,648,595,40,39,1,0,0,2,0,24,4,85.71,37,1,0.273,0,0,0,,0,0,,0,0,,0,0,,,0,,119,0.2622,1534,5.6675,2,0.201,0:00:27,2557,8.84
8ixuqtn5cjA,⚔️ General LaSalle 🐎 Napoleonic Cavalry Legend 🇫🇷,"Mar 14, 2026",161,770,66.82,68.13,711,303,405,327,78,0,0,3,0,94,0,100,3,2,0.262,0,0,0,,0,0,,0,0,,0,0,,,0,,127,1.9673,1268,23.1505,3,0.201,0:01:47,2453,7.87
B-U83QBOUJY,TOOLS of WAR 🇫🇷 Napoleonic Cavalry (1/2),"Feb 6, 2026",171,612,42.83,44.88,591,350,241,214,27,0,0,8,0,102,1,99.03,2,4,0.342,0,0,0,,0,0,,0,0,,0,0,,,0,,152,1.3504,1340,12.7496,8,0.196,0:01:13,1272,4.01
Vzxmqt7-cjQ,TECHNICOLOR LAVA  🌈🎶 4K Psychedelic Visuals + Lofi Playlist,"Jul 17, 2025",3610,4,173.59,,2,2,0,0,0,0,0,0,0,0,0,,0,0,48.5,0,0,0,,0,0,,0,0,,0,0,,,0,,3,6.9586,4,6.9629,0,0.194,1:44:26,18,0
gHzevbw6kzA,The Execution of Marshal Ney ⚔️,"Sep 20, 2025",35,1385,98.48,64.45,1242,971,262,257,5,0,0,2,0,57,1,98.28,3,1,0.136,0,0,0,,0,0,,0,0,,0,0,,,0,3,320,1.9464,2612,13.5604,2,0.186,0:00:34,15271,5.23
VrOOO2ydeAc,Napoleon’s ELITE: The Old Guard 🔥,"Feb 10, 2026",87,759,49.64,74.18,732,284,449,405,44,0,0,0,0,61,3,95.31,3,1,0.245,0,0,0,,0,0,,0,0,,0,0,,,0,,131,1.3033,1162,9.2211,0,0.186,0:00:43,4837,4.94
YnFGfUor2Uc,Napoleon's IRISH LEGION Legend ☘️🎖️GENERAL William Lawless,"Mar 9, 2026",123,192,37.49,,172,52,118,86,32,0,0,2,0,12,0,100,0,2,0.925,0,1,80,1.25,0,0,,0,0,,0,0,,,0,,10,0.2005,192,2.4591,2,0.186,0:00:46,3624,4.03
DT_p05ba51E,Napoleon's GENIUS Trap at the Pyramids ⚔️,"Mar 8, 2026",152,581,55.63,65.86,564,319,245,200,45,0,0,3,0,50,0,100,2,0,0.32,0,0,0,,0,0,,0,0,,0,0,,,0,,113,1.7776,1002,13.7659,3,0.185,0:01:24,2344,3.54
G4Ljh-Tg4Pg,Marshal Bessières ⚡ 🇫🇷  The CALM Before the Storm,"Jan 28, 2026",158,688,77.45,70.01,662,356,306,295,11,0,0,2,0,89,1,98.89,1,2,0.266,0,0,0,,0,0,,0,0,,0,0,,,0,,147,4.2706,1186,23.5228,2,0.183,0:02:02,2173,7.04
IzDS4KQlEaE,We MADE It! 🇫🇷 💂 🐎 🗡️,"Jan 25, 2026",18,965,93.11,55.37,883,210,674,621,53,0,0,0,0,83,4,95.4,5,3,0.19,0,0,0,,0,0,,0,0,,0,0,,,0,,243,0.8844,2121,4.8108,0,0.183,0:00:16,4753,10.08
j36AJ9E4lPw,PINK - Candle Light Simulator : Flickering MOOD LIGHT Visual Screensaver,"Feb 20, 2025",7222,1,0.15,,1,1,0,0,0,0,0,0,0,0,0,,0,0,179,0,0,0,,0,0,,0,0,,0,0,,,0,,0,0,1,0.003,0,0.179,0:00:10,8,0
OURY_Z9YWTY,🇫🇷 BLOODY Origin of Capture The Flag 🚩,"Jan 26, 2026",71,962,61.11,63.76,939,636,302,296,6,0,0,0,0,84,3,96.55,2,1,0.18,0,0,0,,0,0,,0,0,,0,0,,,0,,267,1.624,1696,11.8461,0,0.174,0:00:43,887,5.07
