Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
WPCVL99rKjA,5 Minute COUNTDOWN - 5:00 Color-Changing TIMER w/ BUZZER,"Feb 18, 2025",306,97,77.88,,84,84,0,0,0,0,0,0,0,0,0,,0,0,0.124,0,0,4,0,0,0,,0,3,0,0,0,,,0,,0,0,97,6.4211,0,0.012,0:03:58,71,4.23
locBzr8P9tk,Napoleonic Cavalry ⚔️🐎 Culture & Lifestyle,"Aug 29, 2025",458,84,43.81,,67,24,43,39,4,0,0,0,0,2,0,100,0,0,3.447,0,0,69,0,0,0,,0,88,0,0,0,,,0,1,10,0.5364,84,4.6814,0,0.266,0:03:20,1162,5.08
zdH53yHr2dI,The Supper at Beaucaire 🇫🇷 NAPOLEON Bonaparte [1793] - in ENGLISH,"Dec 20, 2025",1616,78,8.52,,69,18,51,47,4,0,0,2,0,3,1,75,0,2,5.628,0,0,0,,0,0,,0,0,,0,0,,,0,7,15,1.3489,78,2.9823,2,0.439,0:02:17,1200,4.58
xsRftEUpO74,🐎 Napoleon’s Cavalry ⚔️ Weapons & Equipment,"Aug 25, 2025",301,72,37.87,,58,18,39,36,3,0,0,0,0,4,0,100,0,0,3.203,0,3,77,3.9,0,0,,0,61,0,0,0,,,0,1,4,0.0592,72,2.2797,0,0.229,0:01:53,345,6.38
dkgebAzln2o,🖼️ How to Turn 2D Images into 3D Videos  👉 Depth Map Tutorial,"Sep 6, 2025",199,66,33.41,,54,46,8,8,0,0,0,0,0,0,0,,1,0,0.318,0,0,0,,0,0,,0,0,,0,0,,,0,,12,0.1093,66,1.2187,0,0.021,0:01:06,548,4.56
QzHw7sG6E1s,Napoleon 🇫🇷 CORPS : Battalion Carre,"Oct 17, 2025",69,66,68.6,,60,31,28,27,1,0,0,0,0,3,0,100,0,0,1.921,0,0,139,0,0,0,,0,0,,0,0,,,0,3,14,0.1455,66,0.8678,0,0.163,0:00:47,619,3.39
9S0uSUydu_s,Battle of WATERLOO 💂‍♂️ EYE WITNESS ⚔️ British Officer who FOUGHT NAPOLEON tells his STORY!,"Jun 24, 2025",1441,65,18.52,,51,15,37,30,7,0,0,0,0,1,0,100,0,0,4.154,0,0,8,0,0,1,0,0,50,0,0,0,,,0,7,6,0.6312,65,4.8188,0,0.27,0:04:26,791,3.92
2rdWYIxyfGc,Battle of AUSTERLITZ 💂‍♂️ EYE WITNESS ⚔️ Austrian Officer who FOUGHT NAPOLEON tells his STORY!,"May 13, 2025",3618,60,18.77,,47,21,26,25,1,0,0,0,0,1,0,100,0,0,5.237,0,0,16,0,0,0,,0,35,0,0,0,,,0,1,14,3.0047,60,11.3164,0,0.311,0:11:18,830,4.94
T658XyAFAhk,Napoleon 🇫🇷 MARENGO - Glory Victory & Tragedy ⚔️,"Oct 5, 2025",151,56,44.98,,54,5,48,40,8,0,0,0,0,3,0,100,0,0,13.4,0,1,37,2.7,0,0,,0,0,,0,0,,,0,5,5,0.0442,56,1.0566,0,0.738,0:01:07,1144,2.36
KWEHIIAwths,10 x 10 TIMER : 10 Sets of 10 Seconds : DIGITAL Countdown + Alarm,"Mar 11, 2025",241,45,86.55,,4,3,1,0,1,0,0,0,0,0,0,,0,0,0.163,0,0,0,,0,0,,0,40,0,0,0,,,0,,0,0,45,2.6073,0,0.007,0:03:28,73,0
