Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
Total,,,,100775,58.82,60.26,59389,44561,14715,13971,744,0,0,327,1,8193,158,98.11,397,242,0.207,0,0,0,0,0,0,0,0,0,0,0,0,1,1352,0,60,19716,157.4151,190756,1486.4618,326,20.693,0:00:52,638283,5.31
69FnVhqdsxQ,The Old Guard: Giants of War 🇫🇷,"Feb 8, 2026",80,6488,67.48,73.19,6158,3418,2734,2600,134,0,0,16,0,460,4,99.14,20,9,0.207,0,0,0,,0,0,,0,0,,0,0,,,0,5,1165,10.9162,10898,98.2067,16,1.339,0:00:53,40704,8.04
8Vau9h_A8UU,💀 Black Brunswickers 🏴‍☠️ LEGION of DEATH,"Feb 16, 2026",98,3794,62.26,64.07,3657,1690,1967,1882,85,0,0,10,0,220,8,96.49,18,3,0.24,0,0,0,,0,0,,0,0,,0,0,,,0,,470,5.0709,6224,65.0667,10,0.909,0:01:01,11320,7.58
cBGEZYZtywI,💂💂 NAPOLEON'S Old Guard💂💂,"Feb 5, 2026",91,4186,59.87,81.03,4019,2156,1862,1773,89,0,0,5,0,287,8,97.29,13,3,0.199,0,0,0,,0,0,,0,0,,0,0,,,0,,546,5.3998,6394,63.727,5,0.82,0:00:54,35625,7.87
RNZ9AgXOoTk,🐎Charge of the Polish Lancers at Somosierra🏔️,"Sep 6, 2025",74,4502,72.16,87.63,4011,2800,1193,1166,27,0,0,10,0,250,4,98.43,16,11,0.125,0,0,0,,0,0,,0,0,,0,0,,,0,,546,4.9415,7088,67.0778,10,0.563,0:00:53,35540,9.14
CoQRmFV-c68,Army of DEATH : Black Brunswickers ☠️⚔️,"Jan 26, 2026",108,2389,58.52,65.13,2322,1589,733,724,9,0,0,7,0,143,4,97.28,10,1,0.228,0,0,0,,0,0,,0,0,,0,0,,,0,,427,4.2069,4279,42.4911,7,0.545,0:01:03,1336,3.07
C2rV3wvydDI,Why You Couldn't Join Napoleon's Guard 🇫🇷,"Feb 9, 2026",88,2100,54.2,74.74,1986,887,1097,1044,53,0,0,9,0,167,1,99.4,10,5,0.234,0,0,0,,0,0,,0,0,,0,0,,,0,,324,2.7269,3283,28.1161,9,0.492,0:00:47,9331,7.95
opormdCjYzM,BRUTAL Requirements of the Old Guard ⚔️,"Feb 10, 2026",147,1838,60.24,71.83,1771,778,990,910,80,0,0,8,0,170,3,98.27,2,3,0.252,0,0,0,,0,0,,0,0,,0,0,,,0,,265,3.2547,3096,45.5224,8,0.462,0:01:28,6583,7.35
DPJlBY_IU14,Napoleon’s SWAGGIEST 🎺🐎 Cavalry Trumpeters,"Jan 15, 2026",60,2079,74.63,78.6,1898,324,1574,1542,32,0,0,2,0,258,5,98.1,16,8,0.177,0,0,0,,0,0,,0,0,,0,0,,,0,,418,3.1085,3318,26.0772,2,0.368,0:00:44,13289,10.17
eUNOuGsCG3c,The Emperor's Men 🇫🇷 The Old GUARD,"Mar 3, 2026",147,1174,55.27,77.61,1116,487,626,545,81,0,0,2,0,108,0,100,6,3,0.278,0,0,0,,0,0,,0,0,,0,0,,,0,,201,4.2003,1793,26.6385,2,0.326,0:01:21,6429,7.03
v3sy18T2MbA,Inside the SADDLE of a French Hussar ⚔️,"Mar 14, 2026",164,1487,51.05,81.9,1388,286,1085,939,146,0,0,3,0,149,3,98.03,6,6,0.215,0,0,0,,0,0,,0,0,,0,0,,,0,,206,3.3471,2089,34.7425,3,0.317,0:01:23,11274,7.15
PC_dEhbnex4,🍀 LAWLESS 🇫🇷 🇮🇪 Napoleon’s IRISH,"Feb 14, 2026",104,1424,77.76,80.48,1353,400,954,891,63,0,0,10,0,164,0,100,15,3,0.221,0,0,0,,0,0,,0,0,,0,0,,,0,,215,5.012,2134,32.1446,10,0.315,0:01:20,7134,8.58
LfvbYfWQ-aI,Napoleon’s DESERT Slaughter: Pyramids 1798 ⚔️,"Feb 16, 2026",151,1214,65.95,76.49,1145,322,824,766,58,0,0,3,0,101,2,98.06,5,6,0.249,0,0,0,,0,0,,0,0,,0,0,,,0,,203,4.1426,1968,33.7345,3,0.302,0:01:39,9398,6.75
